產品線,產品,代號,階段,樣機編碼,預計產出／入庫,報量啟動,報量截止,可提單公告,狀態（截至 2026-07-29）,H3G／和記報量,公告人,證據來源,備註
穿戴,未確認機型,Chitu-B19,VN2,55020HFV／HFX／HGC／HGA,1月中下旬入庫,未見,—,未見,待入庫,,—,EU Wearable,年份待確認（推定 2027-01）
音頻,Dolphin,Dolphin-T010,VN1,編碼 2026-05-11 已維護（粉色取消）,—,未見,—,2026-05-07,可提單／系統申請中,,Du Juan 00678990,chat p17-18；GTM样机需求收集-dolphin,粉色不上市已取消機關排產，申請時不要申請粉色
音頻,Dolphin,Dolphin-T010,VN2,55039453 零度白／55039457 星河銀／55039467 星空黑／55039461 星雲粉,已入庫,未見,—,2026-07-08,可提單／系統申請中,,Luxi Zhou 84442451,chat p28；GTM样机需求收集-dolphin,
音頻,Guitar FB7,Guitar-T00,VN1,55039388 活力橙／55039380 風信紫／55039382 星空黑／55039386 天際白,5月底入庫（原暫定 5.30）,2026-04-14,2026-04-17 中午,2026-05-12,可提單／系統申請中,0,Luxi Zhou 84442451,chat p3-4、p19；GTM样机需求收集-Guitar,四個顏色都上市；何紀（H3G）VN1 報量 0
音頻,Guitar FB7,Guitar-T00,VN2,未出,暫定 6.30 入庫；8月底有發貨能力,2026-04-14,2026-04-17 中午,未見,報量已截止、待編碼,4,Luxi Zhou 84442451,chat p3-4；GTM样机需求收集-Guitar,何紀（H3G）VN2 報量 4 台（橙／紫／黑／白各 1）
音頻,耳夾藝術款,—,GTM,55039115 珠光銀／55039114 星海藍,5月中入庫,未見,—,2026-05-06,可提單／系統申請中,,Luxi Zhou 84442451,chat p15、p18、p20,2026-05-12 提醒：耳夾高端款、dolphin、FB7 可一次性一起申請
音頻,Sax 肖邦款,Sax,VN1,未出,—,未見,—,未見,報量已收（僅 Excel）,0,Luxi Zhou 84442451,chat p25；GTM样机需求收集-Sax 肖邦款,樣機內容：高端彩盒封套、白色SKU+logo燙金、矽膠+海綿耳塞；H3G 報量空白
音頻,Etna 線上專款,Etna,VN1,未出,VN1 計劃 8.15 產出；產品集中發貨 11月初,2026-07-06,2026-07-09 09:39 截單,未見,已截單、待編碼,1,Luxi Zhou 84442451／Du Juan,chat p9、p26-27、p31；GTM样机需求收集-Etna 线上专款,上市顏色黑白＋營銷色（營銷色暫未確定）；和記 VN1 報量 1 台（營銷色）
音頻,Etna 線上專款,Etna,VN2,未出,TBD,2026-07-06,2026-07-09 09:39 截單,未見,已截單、待編碼,1,Luxi Zhou 84442451／Du Juan,同上,和記 VN2 報量 1 台（營銷色）
音頻,Robin-H,Robin-H,VN2,未出,預計 5月W1 發貨,未見,—,2026-05-18,可提單／系統申請中,,Du Juan 00678990,chat p20；GTM样机需求收集-robin,2026-05-18 特別催辦：尤其是 Robin-h 的樣機，大家儘快申請
手機,Judy,Judy,VN1／VN2,未載,GTM樣機 2.23 可自提；beta樣機 1.26 可自提；VN2 3月中產出,未見,—,未見,僅 Excel、時間軸待確認,VN2 2,—,GTM样机需求收集-Judy,備註：GTM樣機需 2.23 後回歐洲的攜帶；beta樣機需 1.26 後回歐洲的攜帶
手機,Pura 70 Pro／Ultra,HL,VN1／VN2,未載,未載,未見,—,未見,僅 Excel、時間軸待確認,0,—,GTM样机需求收集-HL,分 H（數字）／L（Pro）／LU（Ultra）；何紀履單率 0%
手機,nova Pro,Milla（MT）,VN1／VN2,未載,未載,未見,—,未見,僅 Excel、時間軸待確認,0,—,GTM样机需求收集-MT,大T 各賬號報量皆為 0
手機,Delphi,Delphi,VN1／VN2,51098RJB 曜石黑／51098RJC 寰宇紅（非保密樣機）,未載,未見,—,未見,僅 Excel、時間軸待確認,0,—,GTM样机需求收集-Delphi,大T 各賬號報量皆為 0
手機,Malena（Pro）／Sicilia（Pro Max）,MS,VN1／VN2,未載,未載,未見,—,未見,僅 Excel、時間軸待確認,0,—,GTM样机需求收集-MS项目／MS VN2／MS VN1 实际领取,報量聚焦土耳其、三亞，其餘國家有需求需先知會 李彥斌
